step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
124,9.505422372474024e-07,9.454066517598813e-07,1.05391270100408e-06,9.71009831176414e-07,9.80028593417162e-07,9.739315656953191e-07
125,9.470940068904692e-07,9.452906875956679e-07,1.0553075811293434e-06,9.715384203389578e-07,9.788464570370743e-07,9.735217113378217e-07
126,9.458775017354556e-07,9.45460167556366e-07,1.0614451788964676e-06,9.717756684890766e-07,9.754806210569288e-07,9.739941872981432e-07
127,9.446441912098883e-07,9.459272749887864e-07,1.0634808197953415e-06,9.690091127582893e-07,9.722351397194502e-07,9.754309755027147e-07
128,9.416758503274568e-07,9.455807028066875e-07,1.0633378831763422e-06,9.67085951017949e-07,9.692167034287464e-07,9.787229811142153e-07
129,9.401482239144617e-07,9.481949535745851e-07,1.0672621539155594e-06,9.670399048742218e-07,9.710662885416829e-07,9.792411209958329e-07
130,9.405692899905886e-07,9.471451339147666e-07,1.0619723560318587e-06,9.629180544645696e-07,9.735961956266644e-07,9.761485324189257e-07
131,9.399107809867008e-07,9.485804721589634e-07,1.062717894215233e-06,9.654973644653481e-07,9.712827118629402e-07,9.776860670810322e-07
132,9.3778496769988e-07,9.477329500230295e-07,1.0605110820669294e-06,9.627947222099208e-07,9.711023205572692e-07,9.79571726248966e-07
133,9.372002718686929e-07,9.460190252778258e-07,1.05772838936606e-06,9.633969661843734e-07,9.685525654068489e-07,9.809030487049796e-07
134,9.374650085289916e-07,9.449770945807326e-07,1.056819097851954e-06,9.612997074137905e-07,9.676261031860023e-07,9.79980741633955e-07
135,9.365794063180491e-07,9.455759191373185e-07,1.0570114119013532e-06,9.595113891685416e-07,9.6674543062871e-07,9.78525573757066e-07
136,9.384971505953623e-07,9.437382194579119e-07,1.0572345755601899e-06,9.554588077839933e-07,9.66316350066697e-07,9.760916782735221e-07
137,9.363036628969752e-07,9.423238834471547e-07,1.0642504521338663e-06,9.562240481874616e-07,9.656332399325175e-07,9.749642175014377e-07
138,9.364826386863539e-07,9.415963724354386e-07,1.0603665094581074e-06,9.579453824500007e-07,9.62461315378174e-07,9.753931662704225e-07
139,9.366901624941215e-07,9.386351387100244e-07,1.0607098512749424e-06,9.588361547810898e-07,9.595851915096911e-07,9.773792686003377e-07
140,9.342692050459252e-07,9.37920303699493e-07,1.061337648781703e-06,9.592968432652494e-07,9.58759757483431e-07,9.740959133421835e-07
141,9.337995036528063e-07,9.382413490112132e-07,1.0610095819442245e-06,9.60466564392426e-07,9.564824034295928e-07,9.767848794634988e-07
142,9.292104922066115e-07,9.397108616953651e-07,1.0596452663303868e-06,9.592609549488951e-07,9.535672951002771e-07,9.754214076445229e-07
143,9.254724198326666e-07,9.427366218100549e-07,1.0574083326685495e-06,9.567649326161959e-07,9.50392722405952e-07,9.728384958562658e-07
144,9.239998626131883e-07,9.419863641892796e-07,1.0594528814860466e-06,9.60269725700609e-07,9.490650575152024e-07,9.723138395455992e-07
145,9.248721248900739e-07,9.40438009765244e-07,1.0590521451454003e-06,9.590331363551622e-07,9.479067532431926e-07,9.727867419286006e-07
146,9.24853149659914e-07,9.404902727010917e-07,1.0599938119880928e-06,9.564873956472642e-07,9.49922055804824e-07,9.725706368264418e-07
147,9.239923557409117e-07,9.3838415746612e-07,1.0580952435599348e-06,9.542119565132305e-07,9.498249889920215e-07,9.733546130577578e-07
148,9.229832653381823e-07,9.373148450672166e-07,1.0605055227352629e-06,9.573805686805318e-07,9.476181093329496e-07,9.747947846466894e-07
149,9.186514115991953e-07,9.365307285473264e-07,1.0616113369518907e-06,9.569192883672597e-07,9.48246371655436e-07,9.71345959037095e-07
150,9.169863392208927e-07,9.369872266824735e-07,1.061905841185278e-06,9.550951840135587e-07,9.46624489482583e-07,9.72369085439354e-07
151,9.131375256267315e-07,9.376790744476888e-07,1.0601861824800401e-06,9.5309833178956e-07,9.432291874580216e-07,9.7215546695095e-07
152,9.128915800098392e-07,9.356517424265003e-07,1.0668618550844944e-06,9.510607927813393e-07,9.399124177109684e-07,9.731067568708168e-07
153,9.133876283542572e-07,9.346410043101451e-07,1.0638661328158635e-06,9.528447244766608e-07,9.458188986396132e-07,9.736599403953794e-07
154,9.088368959083744e-07,9.339702841036061e-07,1.058708274613286e-06,9.484521675047176e-07,9.463272847264775e-07,9.714681192651724e-07
155,9.082390803121832e-07,9.357446134122319e-07,1.0572793215218287e-06,9.492148037427314e-07,9.469786281756216e-07,9.722403247337818e-07
156,9.04989824845216e-07,9.379571278166695e-07,1.0532118113589945e-06,9.431197450419488e-07,9.486400751014919e-07,9.717123418193919e-07
157,9.048440787537252e-07,9.366008105456781e-07,1.0494481130825489e-06,9.455038554299503e-07,9.474056603887319e-07,9.717754607229548e-07
158,9.057144289023832e-07,9.354276336181108e-07,1.0515614104743499e-06,9.460823953451775e-07,9.449818768792508e-07,9.714519069606196e-07
159,9.035616744857703e-07,9.354185812506781e-07,1.0534016336361798e-06,9.46259252518444e-07,9.454911472961408e-07,9.706561274199141e-07
160,9.068800272819954e-07,9.366498456446564e-07,1.050212581847542e-06,9.507855798812864e-07,9.414420507396779e-07,9.703408466677368e-07
